,target
1988 John Paul Rome,1
agricultural Saint Lacey,1
1954 Jelenia Góra,1
1980 crypt case,1
1946,1
23 Warsaw XII,1
13 Donald Tusk,1
propeller  car,1
1979 Przemysław Radom,1
2001 Holy Trinity,1
underground MA present,1
independent Underground Publishers,1
many National Warsaw,1
Junior High Łomża,1
1986 Municipal Łomża,1
Underground Associal Underground pension,1
industrial  enterprises,1
Repeatedly Amnesty 1985,1
1975,1
next Agricultural Production Gromada,1
23 Kielce VII,1
employed year musician,1
Committee Artistic S,1
State Music Olsztyn,1
2010 PiS list,1
Council Zielona Góra,1
2014 HM Głogów,1
1992 DepartmentPolish 2003,1
Committee film BN,1
willHistory Catholic Warsaw,1
national Folk Rzeszów,1
1982 Department Cultural,1
then Mazovian Region,1
underground press PWA,1
2001 City Lublin,1
3 State years,1
unknown Lublin rooms,1
High Vocational Brzozów,1
PW,1
student technical evening student Grudziądz,1
independent St. Krakow,1
K National Retirements,1
1995 Material aid Lida,1
120th January IX,1
St. Konin,1
SOR KRPT.Unionists,1
2010 Bożena Brzezińska,1
various hospital Kartuzy,1
Solidarity Parliamentary Gdynia,1
courier Brzozów Krosno route,1
1989 Staff Council,1
9th PZPR congress,1
1975);1975 Engineering Wrocław,1
1981  Delegate,1
Polish chess relationship,1
Economic Praga retirement,1
2007 Warsaw Scientific Kobyłka,1
1981 energy Białystok,1
Order Ecce Poland,1
informal members b. apartment,1
region,1
1993 Staff PŻM;Since,1
national Publisher Marek Derewiecki,1
petroleum Piła,1
delegate Nszków Professional Union,1
1988 Pile Geophysics Department,1
Świnoujście,1
municipal Municipal economy,1
1980 Founding vice,1
1985  Elbląg,1
fundamental metal Częstochowa,1
Technical Secondary Bydgoszcz,1
cooperative work Białystok,1
"Weekly including""Tygodnik News",1
Crypt sauce,1
High Mikołów,1
vocational  Oleśnica,1
Own trade 1993,1
Management market economy,1
foreign Sopot Brodwin,1
plant,1
2017).Silver Culture Gloria Artis,1
Health Warsaw,1
2001 Foundation Council,1
Radio Free Europe,1
1990 Committee S,1
IX 1955 Grodzisk 1992,1
1986 Malmor plant Gdańsk,1
Higher Pedagogical Rzeszów,1
Works ch.regional Works delegation,1
stage Catholic Intelligence 1997,1
About Soviet Poland,1
repressed Zamość 2017,1
calledLubin Jawor construction events,1
administrative Secondary School Complex,1
1981 Starachowice deanery,1
orphanage,1
III KW MO crypt,1
1981 Management Board,1
Kolporter underground Kolporter day,1
V EC Krypt,1
1944 Maria Curie Lublin,1
1980 Scientific Puławy,1
underground Zakłady Zakłady Puławy,1
welder Katowice,1
technical de Physique Orsay,1
own  2007,1
KRPT.Physicist;1985 SOR crypt,1
1989 contract 2002,1
vocational  Łosice,1
1980 Faculty K-5,1
agricultural Cherry K. Siedlce,1
military Specialist healthcare Opole,1
independent library publications,1
1988 Rzeszów region,1
1984).Polish Kadet class,1
Polonics Olympics,1
invalidic ZOZ District cooperatives,1
so Trójka W-7,1
IX High Szczecin,1
military Tamka printing Warsaw,1
1995  English,1
Professional Presidium Radom,1
1981  Włocławek,1
1952 Foreign Affairs,1
pastoral Kolporteżowa patriotic,1
Opinion Jarosław Waldecki,1
1981 Przemyski KPN district,1
parish,1
underground Land Dzierżoniowska,1
communist radio US,1
Adam Kluczbork,1
1929  Wroclaw,1
2008 Insurance PZU,1
national exchange councils,1
following Gdańsk Recycling.1 VIII,1
KRPT.Cage KW curse,1
1981 Andrzej Stars,1
1988 Trade SG,1
2007 Gazeta Krakowska,1
confectionery confectionery review,1
1987 SOR KRPT.Technologist,1
1992 Management retirement,1
provincial WDS Szczecin,1
university performances,1
SOR KRPT.Offer,1
Cooknik housing Zdzieszowice,1
Polish Jaromirowice,1
High Lublin,1
Central teacher Region,1
intellectual Radzyń Podlasie,1
again trade union activities,1
mechanical  Lublin,1
1.5 labor Przemyśl,1
Delegate W Rzeszów Region,1
part Polish Towarzystwo UG,1
1984 crypt V,1
agricultural Stalowa Zarzecze,1
same trade union year,1
1981 Huta Katowice,1
foreign  trips,1
National Education,1
arrested Czechoslovak card,1
Trade Unions Trade Łódź,1
Czech Václava Roma,1
2009).The interview God,1
leaveProduction 1978,1
patriotic  activity,1
mood  workplaces,1
Russian DepartmentPolish philology,1
financially National Rzeszów,1
Soviet lock Szczecin,1
2008 Employee Deputies Szczecin,1
independent trade unions,1
factory Krakow reasons,1
1981 First Commission Gdańsk,1
high Strzelce Krajeńskie,1
1 School Complex Tamż,1
1987–1995 Premgal Invalid Cooperative,1
Health Carry Wrocław,1
Rzeszów Technology,1
IV 1982 Kopolporta grid,1
7th Czechoslovak work,1
twentieth Scientific Courses,1
29 XI ZR,1
when Great system,1
2000 Anna retirement,1
Rospuda Valley,1
10 K. VI,1
vocational  Gorlice,1
there Blessed Virgin 1988,1
S Committee FMWIG Glinik,1
21 crypt sauce,1
vocational Distribution Gdańsk,1
1988 Strawler Kurier,1
election control shares,1
high  Wyszków,1
WatchIII  EC,1
state enterprise,1
emigration writings Russkaja Mysl,1
Individuals Governing Trade provinceKrosno,1
1987 Wierna Mrozie,1
1992 Golden 2003,1
1981 Catholic Intelligence Club,1
21 John Paul offenses,1
1994 International title,1
Hard Nowa Huta,1
same PS.Bogdan title,1
2010 Polish Journalists,1
1 action.22 RusW.,1
KRPT.Mafia KW Krypt,1
1990 Historians Branch Katowice,1
1951  law,1
independent parish priest,1
archive,1
fixed includingCo textbook,1
mechanical Engineering Tamzż,1
Polish Management Głogów,1
employee Main Board Rudna,1
Co cafe,1
countryside;1980 1987 Social Studies,1
Studies Energy Office,1
independent Cooperator writing,1
organized  Poland,1
1981 IX first,1
1999 Working Committee,1
1986 Public Kalisz,1
ChairmanProfessional nieces,1
1986  job,1
underground printing phone,1
worktrade union activity,1
1984 WatchV Kalisz,1
2010 Higher Economic Krakow,1
Lesser Poland,1
Solidarmness Trade Tamen,1
educational Casual Wałbrzych,1
1988  Sopot,1
1970 occupation yard,1
1939 Stefan Vilnius,1
pastoral St. Andrzej Boboli,1
underground  letters,1
high Nicolaus Szczecin,1
Again Port Świnoujście;from,1
1988 Founding Meeting,1
Government Information Agency,1
Kraków,1
1978 Catholic Paris,1
Solidarity Dolnośląskie Fr,1
patriotic Jasna pilgrimages,1
S union archive,1
Committee Siemianowice Śl,1
independent information publications,1
2001 consulting lawyer,1
Underground SW Horizon,1
"20,000.Rally trade union press",1
1981 River Gdańsk Region,1
educational Scientific system,1
1998 Professional Nevils,1
protect information protection,1
fundamental construction Elbląg,1
organizer Co Zntk,1
Higher IV,1
honorary Łomżyńska Cathedral Holiness,1
strong Łomżyńska Cathedral,1
Diocesan Ełckie Kuria,1
serial SB equipment,1
Leszczyńska monuments editor,1
Jerzy Wielkopolska,1
medical care Wrocław,1
3 Military Garrison Łęczyca,1
1984 Youth Friday Kępno,1
high  Kraków,1
ideological Freedom Justice Independence,1
2010 Culture Education,1
automotive  plants,1
illegal Cathedral Lublin,1
1960  Warsaw,1
priest Blessed Virgin Żórawina,1
Tired Topper Topper,1
Foundation Wieś im,1
managerial  functions,1
then WDA ZR;IX,1
1983;Released Tadeusz employment,1
future Vilnius conspiracy,1
1998 Polish Pen Club,1
Polish prize,1
Criminal Law,1
patriotic Silesian Economic Society,1
Lublin,1
SB 1980,1
1988 information offenses,1
2009 Sequence HC Warsaw,1
Technical Technex Gdansk,1
Kalischy Catholic Intelligence Club,1
2007 Lions Club Gdańsk,1
writings  Independence,1
political KPN members,1
graduation Social Bialystok,1
Strachy  Lachy,1
weekly Club Pen,1
1987  excavation,1
Multiplely Lower apartment,1
2002 Koło Świebodzice,1
1987 SOR KRPT.Octopus,1
Member Provincial Association Sciences,1
17th High Warsaw,1
Ewa Poland,1
internal Provincial Gdańsk,1
1954 Medical Gdansk,1
again Rakademia Zielona 2008,1
13 III St. Kalisz,1
wing Warsaw Peporozumie,1
1989 Political ',1
forest technical forest Rogoziniec,1
UB leaflets,1
pastoral OO Kalisz,1
12th family country,1
crypt case,1
2011 Nicolaus Toruń,1
governing freedom justice emergency,1
independent Government Rzeczpospolita exile,1
S railway Region,1
democratic Consultative side,1
political Mazowsze deaning,1
pastoral Solidarity Kaliska,1
Polonia Rebirth,1
1987 car forfunting,1
2002  Antique,1
1988 Hood school,1
Kętrzyn;1998 Councilor county Kętrzyn,1
1983 emissions).In amnesty,1
Polish Radio,1
1997 there.1994 Szczecin;Since,1
1980 Mkdomisja Zakładowa,1
Committee  WPKM,1
artistic WunderTeam Omela;publicist,1
FacultyIII SOR KRPT.Fliferators,1
price increases,1
1981 family Austria,1
Bulletin Jerzy practice,1
Student Warsaw,1
students,1
25th Social Fr,1
political Medical Gdańsk,1
2005 Polish Philology,1
Scientific trade courses,1
full ZR union,1
cyclical program Kamila school,1
creative Wrocław communication associations,1
13 Office C VI,1
1981 Higher Maritime Gdynia,1
1980 District region,1
Northern Shipyard,1
2000 Media publishing company,1
A. PL.Solidarity,1
underground St. Stanisława 1988,1
S Szczecin Shipyard,1
1972 Wólka prof,1
chairman Gen. Władysław Rzeszów,1
11 anniversary celebration Rzeszów,1
Representatives;1986 A law,1
so Wrocław Unity,1
craft Gdańsk,1
Party Authorities PZPR,1
religious Higher knowledge,1
John Paul II,1
2008 Metropolitan Gdańsk,1
material co Starogard,1
national student profile,1
Będzin EC Krypt,1
Program European Solidarity Gdańsk,1
1955 Warsaw Technology,1
1981 Club Catholic Olsztyn,1
Olsztyn.1988 1989 Warmian Catholic Club,1
2000  retirement,1
Silesia  S,1
graduate pwr Legnica,1
Congress Opole S,1
Metallurgy Mechanical Technical Krakow,1
III 1989 III That,1
2007 Centrum Harmrzeńska need,1
SOR KRPT.Strike,1
1981 Stargard Szczeciński,1
1988  program,1
1988 Władsarskiego W.m,1
Xlix High Warsaw,1
independent image information center,1
annually word Bibulum,1
ideological Freedom Federation,1
Silesian Esperantist Union,1
1942  Jasło,1
free Komuny retirement,1
award  S,1
underground  Horizon,1
81 Home Army,1
Polish Commission authors,1
1989 Catholic Lublin,1
1962  Gdańsk,1
renovation,1
conversations District Silesia Warsaw,1
new trade books,1
working Komuny Gdynia,1
Individuals Governing Trade Gdańsk,1
Mechanical Głogów,1
full Program Committee,1
25 Legnica Presidium,1
there  Gdańsk,1
"socialized Pomerania"".1987–1989 Marketing Sopot",1
KW MO EC crypt,1
professional mining Wałbrzych,1
Wałbrzych,1
1981 National POIW,1
agricultural  Prabuty,1
12th St. Stanisław 1986,1
3 school Warsaw,1
2006 Metal Secretariat retirement,1
contemporary Poland Sciences,1
prof Extraordinary Art,1
1989 SOR KRPT.Rally,1
regional Regional Development Agency,1
activist loyalty Prudnik,1
vocational  Lębork,1
Commission Vice - SKP,1
parliamentary round 1994,1
Technical Technical Board,1
narrow ZR account,1
regional PZPR level,1
Technical Rzeszów,1
electric  Gdynia,1
underground Gdańsk region,1
UBP,1
1988 ZAIKS authors,1
rolling  stock,1
KOR Solidarity trade unions,1
underground Underground publications,1
poetic fairy Ashes,1
basic wood Słupsk,1
"S"";A XI 1980.Department WatchP-21",1
1 day GSR,1
Committee  PRBP,1
1988 strike GSR,1
alternative youth 1986,1
2002 Social Association,1
communist March Polish,1
1981 student Warsaw,1
harder  Nysa,1
Solidarity Jan Lityński,1
also Wrocław strikes,1
1985 Gallery Ostrów,1
1988 Polish SG,1
Vocational High 1984,1
1981 includingto country,1
total  poetry,1
own  breeding,1
Los Angeles,1
Positive  studies,1
1984 SW Gdynia,1
2017 Vice President,1
independent Branch writings,1
graduate Electronic High Warsaw,1
then Polish Poniatów,1
First High 1998,1
Association Medical Warsaw,1
Solidarity Małopolski Arms,1
book,1
1982 Student Gdańsk,1
1989 des Hautes prof,1
underground Trade letters,1
lustration declaration,1
mass Maciej media,1
2010 Russia).A 1985,1
also;1975 prosynodal 1985,1
Management Board,1
Region.1987 2001 Social Diocesan Council,1
1980 chemical S,1
1982 SOR crypt,1
2 Polish Scenes Sierpc,1
11 Sącz town hall,1
papal John Paul Gdańsk,1
religious conspiracy ceremonies,1
1984 Leszek Moczulski,1
1984 houses;4 fine,1
2019 Major Przemyśl,1
high Light Life Movement,1
court costs,1
1993).1992 Ca Dyr.there,1
1975 Leaflet;6 Wydz,1
Artistic Miki Mausoleum,1
vocational Gdańsk Locomotive,1
Committee Gdańsk GZR,1
Shooter Association Shooter Shooter,1
secretariat Krypt case,1
VII ZR Małopolska,1
S UniversityMaria Curie Skłodowska,1
1984 Szczecin surveillance,1
terminal  disease,1
2019 zm.10 Sanok,1
outside editorial BP,1
Member Polish Sociological Society,1
weekly sports VIII,1
Opole PZPR activists,1
approved  culture,1
2 SOR KRPT.Octopus,1
vocational  Szamotuły,1
books;Repeatedly trade Czarnków,1
Wielkopolska Structure Wielkopolska Region,1
subcontracting employee Service 2003,1
SOR KRPT.Wichrzysters,1
individually Olkusz communism,1
vocational  Ełk,1
1937 Main Rural,1
Scientific Maria,1
1989 I wife,1
Intermediate Strike SG,1
participant Gdańsk Shipyard,1
1933  Lodz,1
1978 Court Reformed statements,1
30 Supreme Bar Council,1
kw MO Sor Krypt,1
1980 Szczecin Shipyard,1
also MJR.Zygmuncie Szyndzilarze Łupaszka,1
1980 Medical Academy,1
Father Józef Dariusz Fikus,1
Polish Machine vacation,1
othersIndependent publications,1
1953  Kędzierzyn,1
1989 Work Kielce,1
Attorney.1994 Dark Club,1
1989 Sejm elections,1
Commission union S,1
twentieth Trailer century,1
L.,1
vocational III Czechoslovakia,1
22 Program Council,1
finished brutality day,1
1996 Agricultural Pecsa,1
first Vocational Kraśnik,1
repeatedly Underground revisions,1
"again S"";1989 retirement",1
1965  Gdańsk,1
K. Wesołek,1
special 5Maria Sopot,1
secondary  Gdańsk,1
housing strike committee,1
2006 Nszowiek Professional,1
21 SOR crypt,1
Committee  Poznań,1
together Ewa Kubanna,1
1982 Komuny Gdynia,1
Lublin Chełm,1
Technical Żywiec,1
cooperative workerHelu Gdansk,1
1981 Gdańsk Map,1
2000 Burza ants,1
underground publications.1986 France,1
1972 Main Board,1
technical  Gdansk,1
then  underground,1
first Club Catholic Intelligence,1
Individuals trade Siedlce,1
Polish Independence Party,1
extraordinary craft Siedlce,1
political Signatory council,1
Individuals Governing Trade Siedlce,1
professional sybiraków Siedlce,1
1944,1
Meritorious Culture 1999,1
forbidden Olivia Hall,1
provisional Gdańsk region,1
ZPG,1
1989 secretary office,1
Stanisław Booklike Bzpt SB,1
III  passport,1
teaching Słupca,1
1956 Supreme Freedom,1
1958  freedom,1
alleged IX Opole,1
1977 SOR KRPT.Gamblers,1
1982 Polish Optical Warsaw,1
magazine late.released.1980 Robotnik,1
striped Warsaw store,1
there trade transporters,1
culture.1988 1990 Vocational School Wieruszów,1
1988 Medical Gdansk,1
1979 Ideal RMP declaration,1
broadcast,1
EC Bratek,1
manifestation  Kalisz,1
foreign enterprise emigration,1
1977 Polish State Białogard,1
economic Warmian Olsztyn,1
ordinary Reddykajny Housing Olsztyn,1
45 Polish Scenes 1990,1
2004 ZSO;In Board,1
Lisów,1
independent b. Lublin,1
independent Scientific publications,1
1956 Publishing Series,1
1952 Adam Poznań,1
also Plastic casual,1
2011 Civic Rzeczpospolita President,1
Polish Izoldda literature,1
abroad West emigration,1
underground work plants,1
president Wałbrzych Region Foundation,1
Mechanical Piła,1
1981 ZR Bulletin,1
1993 Poliksen Poland sc,1
workstation.1982 1989 DLP activist,1
latest Lesson Poland,1
2006 Estate Management Institute,1
2006 District Council,1
political Prison Service prison,1
local  newspaper,1
Local Political Thought May,1
1988 Video Studio Gdańsk,1
Zremb Żoliborz Warsaw,1
1986  amnesty.1983,1
liquidation,1
Founding Committee,1
1986 exemption mode,1
Tam.1986 1988 Higher Trade Kielce,1
underground youth magazine,1
underground Adam ul,1
Gdańsk Food St. Brygida,1
municipal KPN pension,1
Południe District Office,1
Teams Independence CDs Teams project,1
Polish Polonia Press,1
industrial automation plants,1
First Kalisz Province,1
medical Military Special certificate.1987,1
few hour others,1
1981 Michał threat,1
1992 attendance Rzeczenica,1
1981 Independent Peasant Publisher,1
1990 Opole retirement,1
KS MO SOR crypt,1
IV High them,1
1981 press KSon,1
1988 Municipal CPN Racibórz,1
IV High Opole,1
SB prohibition,1
1981 KPN Opole,1
7  offenses,1
1980 Round Products Bialystok,1
1983 probation amnesty,1
memories,1
Higher Economic Warsaw,1
1981 intervention department,1
1983 Polygon Red Bór,1
1997 Herbapol Lublin SA,1
construction craftsmanship Tamże,1
2008 Special Military Camps,1
1988 synergy Gdańsk,1
new Wojciech Borowik,1
1977).A Higher Vocational Pedagogy,1
1  V.,1
honorary bronze Kalisz,1
graduate Archdiocesan AEological Wrocław,1
1989 New Ruda,1
1984 revisions.26 amnesty,1
Opole Opole,1
fundamental metal Jarocin,1
Surrounding Sor Krypt,1
Mo SOS KRPT.Surveyor,1
independent Nowa Church,1
technical WSK PZL Świdnik,1
Václav Czechoslovakia,1
Polish Polish Czech Forum,1
Central  resistance,1
Pro Ecclesia et Pontifice,1
legal  S,1
may.1989 Radom rights,1
Aulant CIA.Academic Information S,1
Letters Rzeszów voice,1
14 Polish Scenes Rzeszów,1
Committee Sejm Poland PG,1
2000 Piping Pipelines Płock,1
new K. Świdnik,1
1952 Bielsko Biała,1
1st Polish Labor network,1
underworld  West,1
historic monuments Szczecin,1
1981 VI Delegate,1
historic Laboratory Szczecin,1
Higher Pedagogical Gdańsk,1
underground  writing,1
editorial Tygodnik Gdański,1
Catholic Bielsko shares,1
1981 Health Service Gdańsk,1
Pre_cop24 2018,1
professional textile those,1
three Irena Anders,1
1951 Higher Theater Warsaw,1
Culture Maciej camp,1
2004 Polish Philology,1
monthly Radio Free Restraint,1
1981 ZR members reportedresignation,1
amnesty law,1
SOR KRPT.Jumper,1
1948 Warsaw Technology,1
student PW,1
1991 Unicum Work Warsaw,1
construction Wałbrzych,1
responsible Silesia voivodeship workplaces,1
IX 1980 WatchPia Warsaw,1
argopol.2001 Mladá 2009,1
Warsaw International 1981,1
independent CDN publishing publications,1
Management Trade,1
cooperative consulting adviser,1
2002 Z GATX,1
Company,1
48 Czechoslovak searches,1
daily Momowsze Independence,1
public Zbigniew council,1
1997 Gorzów Wielkopolski,1
Warsaw.1979 1988 Warsaw.1979 Warsaw,1
