source,target,edge
1931 Tadeusz He,High Vocational Brzozów,graduated from
long -term revision,courier Brzozów Krosno route,detained for
1991 Wojciech he,PW,ceased
Krzysztof He,student technical evening student Grudziądz,graduated from
illegal art which,independent St. Krakow,Sebastian in
1980 Collaborator MKommisja he,K National Retirements,From
80 Catholic Social She,1995 Material aid Lida,organizer for
1953  VII,MO crypt sauce,Pate
care priest Antoni organizer,120th January IX,interrogated
own Social Plenipotentiary,St. Konin,In
V 1989 22 WOG,SOR KRPT.Unionists,as
8 Committee Civic Committee,2010 Bożena Brzezińska,issued
1981 Provincial he,various hospital Kartuzy,sign
1990 Land construction,Solidarity Parliamentary Gdynia,pg
other Collaborator B. Contacts,S Jerzy organization,stay in
patriotic Church He,unknown Lublin rooms,made available
1981 Renewal he,secondary teachers Lublin,conducted
1982 Lublin.1982 He,underground holiday God,supported
1980 SKS collaborator,independent  scriptures,"including""Write"
1988 Fryderyk Ry,independent Polish Philology,At
1991 Lower 1995,1992 NAF Dementi Wrocław,Council of
2013 Lothar Herbstars,1927 Andrzej Dębski,Creator
he,Wrocław,expired by
21 Janusz He,High Toruń,graduated from
organizer,1981 ZR Bureau,In
interrogated.1982 1986 Co -,trade unions Toruń PZUO,interned in
underground  he,organized  strikes,led
Aviation Industry National Aviation Delegate,AWS.1998 AWS list,From
1988  VII,1989 crypt sauce,Return
research  Member,underground Warsaw.1987 magazines,From
long Competition Member,government World Bank,Expert of many
many  includingIn,cultural  heritage,Author of many
He,Polonia Restituta,awarded
1951 Janusz He,mechanical  technician,graduated from
13  XII,12 Prison July,interned
1980  1982,SOR KRPT.WIS,Mo in
1965 born11 He,High Gliwice,graduated from
1980  1985,family craftsman,helped in
thanks Stanisław Stobiecki).1986 he,independent SW publishing country,made
1979 self education X,1980 opposition activists,V
1980  he,1981 Tygodnik Independent Students,thinks
1988 day organizer,Armenia,rebounds for
1944 Polish Academy,first economy financing 2004,Attempt
KOR trade Author,economic New country,published in
authors,1987 John Paul Poland,statements
1960 Marek He,high  Gorlice,graduated from
exempt Nowy VII,Zagórzany;1986 1998 Football player,without
Ewa Bugno Zaleska,advantageous Mińsk Mazowiecki,graduate of
1976  Decorator,Social Communal Agricultural plant,employed in
then  Chairwoman,Commission health care,Committee;IV
1986  1989,1988 Paweł Kotlarski,co
IX 1989 IX II,2000 Koniński Lyon,delegated
1938  He,construction technician,graduated from
times  1984,S Jarosławska structures,In
Scientific Catholic University,dozen months days,detained
1985 Wacław XII,4 years years,convicted to
organizer,single price Directorate,strike against
Delegate trade Region,Mazovian XII region,"Solidarity"";In"
main John Józef He,academic  Warsaw,works
together Zbigniew I,posthumously AwardRobert F. Kennedy,apologize for
1979  March,SGO SOR crypt,Zbyszek
1963 school participant,technical water supply Bialystok,internship
10 protest VIII,Solidarity Udogim Winter,autumn
1988  Inspector,Bulletin printing materials,from
Bartosz member,Bialystok,interned
1936 born4 He,Fine Krakow,graduated from
Polish Art Auction income,1981 Rzeszów Utrzycki strike,Contractor of
1985 Jerzy Popiełuszko,20th Independence Rzeszów,lamemed on
VII,1989 EC Krypt,Daubster
13  XII,Repeatedly Gazeta apartment,searches in
1989  member,Commission Southeast S,POIW
SO Sanatorium;1980 1989,SOS.Teacher EC crypt,Hard
1951 born11 He,secondary study Gdańsk,graduated from
1980 Factory Commission,socially Mazovian Region,From
1981  Isolation,Warsaw Białołęka,released
1980 SOR KRPT.Student;22 files,KS Warsaw,sent
currently d.27 He,Norbert Gliwice,Barlicki in
independent Market which,same  day,managed
there KW Isolation,2 HPR Katowice Gliwice,No
1983  proceedings,1985 publishing house generation,In
Polish Cathedral,Polish Warsaw,Wola
1931 Krystyna She,Employment Law School,graduated from
professional  she,1975 Fermical Commission,associated with
1980  participant,general Founding commission,followed by
Zakładowa  S,Saint Catholic Intelligence 1987,retired
dozen person which,ZR Gdańsk,In
1982  he,S Mining Team,participant of
Committee Brown Coal President,martial Interned Konin,imprisoned
Komuna Paris,then Gdańsk Region,free
13  XII,1981  October,interned in
1961  He,construction technician,graduated from
1981 V Author,1981 ZR Lake Suwałki,From
8 Complementary VII,Complementary Suwałki,released
III  KW,Suor Krypt,man
founder,Scientific Increase,In
serious Jan he,underground  activities,withdrew from
2002 Polish diaspora President,2012 PO EP,member of
1977  clerk,1982  work,removed from
1981  distributor,Unions Lech Wałęsa,doctor
participant,2007 Ambassador Rzeczpospolita Tunisia,Polska in
regularly  called,called  command,be kingy
1995 Piotr He,Technical Secondary Gdańsk,graduated from
1979 Centrumio signatories,1980 SB officers,After
III 1950 III He,high St. accounting,graduated from
1976 WSS Department,1979 Krakow Sales Office,auditor in
10  XII,1979 KPN stamp,stopped
28 Nowy XII,1983 Strzelce amnesty,Internified in
1954–1958 High 1958–1962,1st class teacher,Methodical in
late Honorary President,teacher High Milówka,Polish in
1974 Golden Medal,posthumously Solidarności Podbeskidzie,honored
1989  Pastor,priest Pastoral Łódź,Referential of
small  He,professional Polish electromechanics,graduated from
1980 strike participant,1980 Founding Committee,Committee
1986  VI,1988 Gdańsk PG,In
1998 Morskie Port Member,2007 JuWentus protection agency,PG
participant,oceanic student lines,From
1983  devoid,pastoral General Technology Gdynia,Redemptorists in
20 IX 1989,Mo SOS KRPT.Domino,Developed by
Andrzej Celiński,1950  Warsaw,graduate of
1977 trade 1980,called Scientific Courses,stopped
13  XII,trade unions trade chub,Wałęsa
non Democratic Party -,party,Since
5  VII,K Sor Krypt,Rope
1981  Isolation,underground Marian Głogów,Lipski at
1989  member,2013 Region Development Agency,Plenipotentiary in
1943 born3 He,1962).A Economic management,Śniadecki in
13  XII,4 District years,interned in
Board.1998 WiceCancer WSH,Board.1998 Military Housing 2002,From
S trade Land,2009 Third Age,retired
Polish Ergonomic head,3 Warsaw V,Until
sharehold Founding commission,1980 Polish increases,ended with
2010 zm.29 He,technical  Gdańsk,graduated from
1980  participant,1981 Faculty Commission K-2,From
Żoliborz Kuronia,nzniazek Open Association Rzeczpospolita,From
He,winner Polcul Foundation Award,awarded
1942 born4 He,technical  Kalisz,graduated from
Witness,1977 MPK 1992,In
1980 communication he,first South Wielkopolska region,organized
activist aid participant,nationwide Jasna Góra,In
1951 Longin He,vocational  Łódź,graduated from
1981 co -organizer,working Jan Dębowski,Jesuits
Sor Bus,Sor Krypt,stop
founder,2013 Safe Cyberspace,President of
harder health WPZP,mental health care,head in
psychiatric specialist XII,6 months imprisonment,dismissed
born29 He,technical  Łomża,graduated from industrial
1981  organizer,v construction Białystok,From
Zbigniew Chłap,1928 Medical Krakow,graduate of
1981 Anna Co,Medical Clinical Hospital,founder
1995 Medical Organizer,1988 Lesser Poland,Kolbe in
Trade Unions Trade 2000,Polish KEP expert societies,member of numerous
1980  1985,Mo Crypt sauce,Arena
31  VII,1989 EC Krypt,Mother
1939 Andrzej He,vocational  school,graduated from
1966  Employee,Radio TV Radom,ON
Kolporter,Warsaw.1984 RTV PS Szydłowiec,Marcin in
Lech Chmielewski,1950 Gdańsk Technology,graduate of
1980 strike participant,Delegate GSR Gdańsk,seconded
1981  XII,underground Physisja Zakładowa letter,casual
offset  initiator,registration Organizing S,attempts
1949  He,Metallurgical Bets Poznań,graduated from
"1980 S"";Vice Chairman",1981 Wielkopolska Region;Co Poznań,From
Isolation,1988 ZM Pomet,appointed to
1999 Supervisory Delegate,retirement Social benefits,Since
President,2007 Independence Organizations,member of
Polish Cross,Poland Lithuania,Decorated with
Author,1995  .,discover
Golden medal,justice,awarded
1983  1988,EC Krypt,Code
II 1948 II He,technical  Gdańsk,graduated from
entire Gdańsk renovation Faculty,Remont Rodunia shipyard,transferred to
-,1981 Mkisja Zakładyowa Delegate,In
KOR Committee Civic Committee,Solidarity COMMITTEE COMMITTEE R,collected
750 Tygodnik Mazowsze,gradually  in.cities,expanded
1992 government which,2005 Warsaw IX,retired
2005 Council founder,2005 Council 1979,Publications
born14 IV Rutki k. He,technical  Łapy,graduated from mechanical
1987 State Machine he,occasional Physisja SG,continued
Mirosław Chojecki,Warsaw.1967 1968 Warsaw Warsaw,born1
7  iv,1.5 years suspension,began
co,Committee Mazowsze publishing cell,publications;arrested
1981  he,2008 Honorary President,From
1989  which,however  punishment,considered
University,College Polish Sciences,Academy of
1942 Stary K. He,vocational Gdańsk Shipyard,Lenin
9th PZPR investigation,9th PZPR congress,discontinued
Solidarity trade Casual,othersIn PSS Łomża,works
Mo WZ.V WiSw,Sor Krypt,Embers
III 1955 III Dolnośląskie,1975);1975 Engineering Wrocław,born17
underground  activist,high voltage Żarów,Consider
He,Freedom,awarded
1975 Economic Academy,Technical deputy Opole,DYR.In
horizontal enterprises they,all PZPR Factory Commission,initiator
IV,6 KW V,stopped in
Polish UNIETTYD STATES,2010 Family Companies Tamż,USAID
He,Polonia Restituta,awarded
1988  coordinator,then radiolocation coast,Defenders of
Agricultural Sokołów education,vocational Weryni K. Kolbuszowa,graduated from
He,Sokołów Małopolski,From
1944 K. Sokołów it,Self Sacred Rzeszów,Participant of
owner,NEW Maria Dairy Trzebuska,is NEW
1982  X,1989 EC KRPT.Serf,1989 under
IX,1980 Bureau Committee,in
Technical onElectronic Gdańsk University,again Uni 1999,retires
8 Jerzy IV,defending HSW strikers,participant in
1980  Chairman,then national commission,From
1977 emigration thing,1980 centrumio property,In
1980 VIII co,21 Bydgoszcz lawyer,approved
professional trade unions,Warsaw.1997 AWS list,Łazarski in
1992 lustration court,SB,cleared
28 Franciszek He,Basic Vocational Nisko,graduated from
working  DLP,1988 HSW strikes,IV
host,Mazovian AWS list,From
member,2003 Publishing Press o.o,From
1958 born11 He,mechanical  technician,graduated from
initiator co S,MONTER Civil Defense CAMERA,FROM
12  December,1987 SOR crypt,Butterfly
scientific Mała Poligrafy author,Free Underground Publishers.1987 Word,Calendars of
writing team writing editors,local theater press,Theater
30  VII,1988 Sor Krypt,Delta
Józef Antoni Glory,Agricultural  Zootechnics,born26
representative KBWE participant,underground publishing country,subjected to
Kazimierz Chwesiuk,large k. Lublin,graduate of
underground  publishing,v  1982,interned in
twelfth III he,professional Committee Civic nyes,participant in independent
protest he,Independent Press,Founder
1981  Isolation,Ukrainian Holy Scriptures,After
25th  badge,trade union Poland Rebirth,deserved for
1981  VII,Mo SOR KRPT.Aramis,Rusw in
Konstanty Ciaciek OFMConv,1975 Catholic Lublin,graduate of
1980 Academic John,1980 Light Legnica,Connected to light
1980  he,Individuals Legnica province,celebrated
includingEvery Corpus Christi rooms,Repeatedly Provincial Office,Legnica
member,pastoral OO monastery,Bernardine
Grzegorz Leszek He,secondary construction Radom,Tamż
structures Independence Club,then Energy Construction Radom,cooperating with
1995  Chairman,2009 Skarżysko Kamienna,Wspik in
1980 Jasna he,John Kozłowski,supported
where  he,Christian trade unions,thwarted
Wiesław Cichoń,1954 Polish Philology,Mickiewicz in
repeatedly interrogated.20 VIII,IX 1980 August Agreements,arrested
1980  organizer,Republic Freedom Fire Federation,Free
Private Consulting DYR.Trade,2009 Management Board,Since
1981 Incident Co,editorial Polamowska Solidności,strikes at
working  DLP,religious St. Pile,conducted
1948 Jasieniec He,Diocesan Organist Radom,graduated from
1982  IV,KW MO EC KRPT.Birch,Developed by
IX 1954 IX He,Electronic Technical Warsaw,graduated from
1981  Collaborator,1981 Mazowsze S,in
1980 strike participant,1980 Freedom Justice Independence,Signatory of
13  XII,families;Repeatedly aid SB,press
1988  1989,crypt sauce,Vineyard
Teresa Cieplechowicz,cleaner Chief Technical production,graduate of
1990 election she,2006 Ożarów Mazowiecki,obtained
Wojciech Ciesielski,1951 Higher Pedagogical Olsztyn,graduate of
1980  member,scientific Radom courses,Society of scientific
underground publishing Writings,1989 Vivaldi Olsztyn,employee of
member,Polish health Olsztyn,member of
distinguished culture activist,Polonia Restituta,awarded
1987  1989,FacultyIII EC crypt,Historian
Rzeszów.1982 1989 Underground press Solidarity?It,calledRound Better table,Participant of
1989,Rencists National Łódź,Since
1981 Printer leaflets,registered Verba publishing house,stopped
20 III 1978,1987 SOR KRPT.Horror,III-2
1984 Co Multiple,28 IX offenses,reviewed
prudent  he,dormitory,worked in
1991 W. proceedings,undetermined W. Cieślewicz,discontinued
1952  He,Grodzisk Wielkopolski,graduated from
III he,school walls,conducted
3  VII,films opposition publications,activities
1954 born23 He,car Lublin,graduated from
employee,1987 Foreign Przedsiębiorstwo Lublin,production
where Kolporter it,renovation Kolporter plant,After
IV,39  hours,detained
S Lech -,Solidarność Lech Wałęsa).1991 1992,candidates from
1953 Zbigniew He,Heavy Bolesławiec,graduated from
1981 Individual I,Individual Farmers Legnica Legnica,"WZDD""S"
Repeatedly anniversary Co,Individual Farmers Legnica voivodship,founder
Civic Committee,structural People Christian pension,Agreement
25 ZK Potulice;26 V,1983  favors,reported to
Andrzej Ciszewski,1959 Warsaw Białystok,Philology
independent Kolporter Funiversity,1981 strike Warsaw,JWP
3 14 judgment,1999 Television Polska Białystok,praise due
Committee Civic Committee,S Warmian Masurian Region,WZD
1981  banner,1988 John Paul Rome,In
main Stefan Cardinal goal,spiritual Prymas this,Wyszyński
co,Helsin Commission,In
1955 Stalowa He,vocational  school,graduated from
same Labor IV,1988  HSW,received
1949 Nowodworze K. She,high  Warsaw,graduated from
1969 Karol Świerczewski,1976 telephone devices,released for
1981 Commission;XI Organizer,editorial Professional Nsziezek,supplies for
organizer,PPN,In
1987  1989,EC Krypt,Treasurer
Adam He,LXXX High Warsaw,graduated from
Warsaw Street books.1985–1989,1987–1989 MRADA Krajowas,detained several
father,agricultural  Łańcut,was
religious self employment which,Underground publishing home,Capuchins
