source,target,edge
1981  convictions,then Political Science Olsztyn,graduated from
supporter,then Polish Independence Poland,transformed
Czesław Wiktor Dygant,1931  Warsaw,born12
away  he,pension,moved
he,Polish Radio,restored to
Piotr Dyk,1954  Gdańsk,born28
13  XII,1989 Warsaw pension,interned in
he,FSO Worker Motor SA,restored to
Józef Dzbanyzek,1948  Kalisz,born29
Day Trade participant,together Indzedle S,arrested
employee,again Rakademia Zielona Kalisz,seconded
20  XI,1984 WatchV Kalisz,Developed by
Jan Dziado,1951  Kraków,born22
Bogdan Dziadziuszko,1955  Gdańsk,born19
organizer,Together WPHW warehouse plant,strike at
1981 strike participant,then KW anxiety,interned in
13  XII,24  VII,interned in
Hutnik Workers i,Hutnik Workers Huta,m
he,Government Information Agency,went to
Andrzej Szkłak,1947  Łukowice,born15
academic  priests,scientific  strikes,visited
2007  Pastor,priest Corpus St,parish in
He,Polonia Restituta,awarded
participant,September campaign,volunteer
We,1980 Celebrans Mass,IX
Fifty Wielkopolska That,Wiktoria,Memories about
1983  he,SOR crypt,worked
2002 Polish Institute,Polish prize,set
IV X,1953 Upper Silesia,appointed to
1988  1989,SOR crypt,Developed by
18 IX 1989,crypt sauce,Developed by
Waldemar hole,1954 Stalowa Wola,born19
13  XII,1981  axle,interned
several  times,SB,stopped
1998  Medal,National Education,awarded
member,Branch ghetto Branch 1944,left
13  XII,1981  axle,interned in
he,1979 Rainbow Gdynia,trained medium
1978  VI,1981 SOR KRPT,Developed by
1989–1990COMMITTEE COMMITTEE COMMITTEE COMMUNITY,electoral trade letters,created electoral
14  XII,same Kędzierzyn day,stopped
1982  V,1983 SOR crypt,worked
1966  Instructor,graduation Social Bialystok,technician
24  II,6 Inspectorate II,Watch
He,Polonia Restituta,awarded
scientific diagnostics;A he,managerial  functions,Author of several
1981  he,several Izabela B,printed
13  XII,1981  December,interned in
associate Jadwiga who,photographic anniversary masses,remained from
Film actor,1987  excavation,have
13  IX,1987 WatchThird outz,Developed by
1982  1988,Sociology Group,Managed
Solidarna Foundation i,Solidarna Foundation Wieś,m
III District 1985,2 District years,released
organizer,Gdańsk Shipyard,Strike in
13  XII,local labor RFN,stayed with
Honorary Citizen,Poland,awarded
1980  December,SOS SOR crypt,worked
1981  Interned,isolation Goleniów,released
III 1989 founder Civic Committee,S EGO region,Western
KOR COMMITTEE COMMITTEE COMMITTEARS,responsible Krakow environment,letter
he,1981 includingto WLK,left
Column Collection,total  poetry,is
governing trade union,Individuals  Solidarity,In
1982  he,underground tooth newsletter,launched
1945 Warsaw he,Poland,army
author,KPN activists,In
delegate,departmental Gdańsk Shipyard,In
1981  member,printing Gdańsk house,made
Krzysztof Figel,1962  Gdańsk,born26
1987  Cooperator,alternative youth 1986,made
Archivist,2007 Energa Rotation SA,was
director,ideas,has
1981  organizer,underground  Bridge,scriptures
1981  he,underground  publications,engage in underground
He,Polonia Restituta,awarded
Włodzimierz Filipek,1957  Poznań,born1
1980  he,acthigher ministerial education,one of
13  XII,6  VII,interned in
organizer,strike,vice
13/14  XII,Co  Department,detained
1989 Committee Civic Committee,- election meetings,organized
1957  Master,Szczecin;1971 1997 Szczecin;1971 Szczecin,Warski;1957
Bolesław Fleżę,1933 Wólka Jarosław,born17
1980  member,legal trade union press,Author of legal
Jakub Forystek,1942  Jasło,born20
organizer,trade union Prudnik,In
13  XII,1982  anxiety,Interned in
opponent,parliamentary round elections,called for
1981  Organizer,1982 Zbigniew Bujak,co
1981  he,underground barrel 1983,continued
I,p,worked
1984 Third proceedings,amnesty,discontinued under
1980 Founding remedy,Individual Łańcut,co
1981  he,Krzemienica,led
V,SO  crypt,worked
15  XII,together printing house,organized
Stanisław Fryc,1953  Krosno,born21
Stanisław Fudakowski,1948  Gdynia,born17
he,work Gdańsk,employed in
laborious psychology studio,responsible intervention Congress,participant in
Krakow Nowa i,Krakow Nowa Huta,m
1981 Charity Aid Ark,Kraków Nowa help,Participant of
Cross,Solidarity Region Małopolska,Meritorious for
1982  1983,MO SOR KRPT,Developed by
Denta Wojciech he,subsequent Bogdan years,spread
1984,SOS Crypt,worked
activity Waldemar Solidarity,second Antoni Petkiewicz,be
Antoni Furtak,1944  Puławy,born12
1980  Co,Individuals Governing Trade Gdańsk,seconded
1982  he,agricultural month Wejherowo,received
Vice - President,1991 Professional Nsziezek,In
summer funds,Henryk Wujiec,obtained from
Zbigniew Gach,1952  Gdańsk,born1
III,KW MO EC crypt,worked
13  XII,then KW anxiety,interned in
1981 teaching chairwoman,1981 National POIW,From
15  XII,initially Kamień Axle,interned
chairman  S,Worker  S,POIW
1964–1966  Tokarz,1968–1969 Lamina Tam,ibid
Wiesław Gajda,1957 Stalowa Wola,born19
1985 Cooperator Physisja Zakładowa,dozen Miniature Radio Receivers,Borusewicz;Transfer to
13  XII,sick 6 II,interned in
urban Kaliskie bus lines,urban communication 1994,sp
2001,Poznań PiS,supports
III IX 1982,SOR KRPT,Developed by
Krzysztof Galiński,1965  Gdańsk,born1
IX 1984 IX September,21 SOR crypt,Mountains in
15  XII,1981  anxiety,interned in
1955  1957,1966 Inwalidów Gdańsk,Floating in
1980  member,1981 Gdańsk Map,seconded
1982  1986,KW MO SOR KRPT,Developed by
1980 strike participant,FSO Meblomor,interrogated
Bogusław Gawrysiak,1954  Kraśnik,born
1982 protest he,scientific  trips,referred to
He,Los Angeles,graduated from
flying publishing leaflets,street protests,constitutes
member,2017 Vice President,From
13  XII,then  ONR,INTRONATED IN
they,First High Wałbrzych,restored to
governing trade union PNTio,Association Medical Warsaw,voted against
1981  I,current  events,Review of current
long  we,book,Author of
Warsaw they,1942,In
13  XII,then Warsaw XII,interned in
when Eagle White he,lustration declaration,Laureate of many
Grażyna Gęsicka,1951  Warsaw,born13
he,Father Witold,debuted in
1979 press I,twentieth Trailer century,was
he,L,confessed
Adam Giera,III Szczecin,born20
14  XII,harder  NAR,interned
1990 Chairman Wspólowa Commission,1998 Member COMMUNITIES,COMMUNIES
20  IX,operational crypt sauce,Developed by
1980  Chairman,1981 North District,Delegate on
13  XII,1983 aid St,interned in
i,Huta,m
He,Polonia Freedom,awarded
1981 11 1981 XII,1982 SOR KRPT,Developed by WatchV
1981  member,several minutes work,co
Przemysław Gintrowski,1951 Stargard Szczeciński,born21
Jacek Giżyński,1965  Warsaw,born1
-,othersIn Tygodnik London,Kolporter
22 arrival IV,3 Provincial years,sentenced by
1977  December,FacultyIII SOR KRPT,worked
activist Kluczbork member,1981 Region Śląsk ZR,Opolski
13  XII,1982 Silesian acquittal,Interned
Zbigniew Gluza,1955  Warsaw,born7
vice,plant,In
Stanisław Tomasz Głażewski,1937  Warsaw,born17
Laureate,approved  culture,Award;Awarded
Karol Głogowski,1933  Końskie,born1
creator,ideological self employment activities,b
1962  1990,kw MO Sor Krypt,Developed by WatchIII
editorial Polish Radio manager,1980 Szczecin Shipyard,Szczecin;involved in
1980  Author,also Year MJR,assuming
1980 Registered IV,national student profile,dissolved
1986 Resistance group activist,Solidarity trade Nr,issued
V,FacultyX  Dep,worked
Jan Głowiński,1953  Kędzierzyn,born4
13  XII,23  VII,interned in
He,Medal Culture Gloria Artis,awarded
1959,1963 Youth Conspiracy BP,is
1981  he,Provincial Council,gave to
Paweł Głuch,1950  Jabłoni,born20
organizer,KS,In
14 retreat VII,1981 retreat Strzebielinek,released
1959  Employee,worktrade union activity,dismissed from
free taxi 1981/1982,underground printing phone,made
1975 Poultry farm culture,SB prohibition,suspended due
27  VIII,1980 Opole publications,delivery to
He,Polonia Restituta,awarded
worker,1980 Round Products Bialystok,changed
1981  he,interned  chairman,called for
I,memories,am
Józef Godlewski,III Zgorzu,born20
1987,category Zw,Forced
4th High it,directly School Youth,seemed
1983 Association It,amnesty,carried
Józef Gola,1953  Kalisz,born27
Bulletin,1  V,think about
class Association,Polish Scenes,No
he,municipal meat plants service,restored
1988  1990,Mr,Developed by
Stanisław Gołaszewski,1950 Wysokie Mazowieckie,born1
1981 strike participant,then  underground,undertake
independent trade union which,trade JSP,In
13  XII,then AŚIn axle,interned in
she,own  Glass,led
1980  he,Gdańsk Shipyard,provided
then Workplace Committee,forbidden Olivia Hall,In
He,Polonia Freedom,awarded
when Ewa he,military  Bialystok,avoided
IX,Escape C camp camp,interned in
Technical Office 1962,Senior Sleeping Wagons,referent in
1981  detained,Poland,interned
21  VI,1970 WatchI II Depth,Developed by
co  author,1972 KW MO Koszalin,detained
1972,1981 WYDZIII outz,Developed by
Aleksander Roman Gołowkin,1960  Głuchołazy,born17
where  he,local  newspaper,lived in
then PSS Chairman,Ministry Committee Strike Committee,From
14  XII,1981 employee rights,suspended in
Krzysztof Gołgowski,1954  Będzin,born12
following  step,1981  hiding,revealed
1980  Chairman,1981 Audit Delegate,Region
Author,several material strength,works in
Awarded Ecclesia ET Pontifice,Golden Merit,awarded
1943 IV Germans,transitional  Zamość,VIII
scientific Law Department i,scientific Law Department Uniwersytet,m
WIP organizer,leaflet city center,In
Knight Cross,Golden Merit,Decorated with
1980  1985,so Nowy crypt,Developed by
1987  December,FacultyIII crypt sauce,worked
1966  Employee,Piaseczno,plants
ZPD Leaflets,S Student Suriency Wrocław,Krajowas
Self Trade Union,Solidarity Individual province,From
Kolporterka underground Kolporterka scriptures,Popolówka newsletter,radiators
degree Jadwiga who,photographic anniversary masses,From
Local  union,Local Political Thought May,supplement to
1982,editorial Polish Swedish Radio,Workless
1980 Vice - President,Founding Committee,From
13  XII,17 III 1982,interned in
mate railway he,train,managed
V,17 air adaptability,incorporated into
Lech Mountain,1955 Ostrów Wielkopolski,born4
1980 Mera he,Gdańsk Shipyard Lenin,one of
13  XII,1981  axle,interned
organizer,Znt,After
1980  she,1981 Independent Peasant Publisher,made
13  XII,1981  anxiety,interned in
Antoni Grabarczyk,2007 zm7 Gdańsk,born12
organizer,Founding Wydz,In
-,1982 Marian AŚ,arrested
1962 Worker Huty i,1962 Worker Huty Huta,m
he,Huta,restored
15 Blessed Virgin XII,1981  anxiety,interned in
Agriculture Plenipotentiary,Professional Niezniężek,Voivodeship
so Karol workers,discriminated Nszowiek Puńsk,1955–1962 at
underground MRad includingMrada,underground MRad structures,Krajowas
1982 IX 1989,KS MO SOS KE KRPT,SUSW within
1989 Activist Physisja,underground publishing manifestation,participant in
1974  Employee,electronic computing techniques,ON
underground wife Stanisława,4th Dorota Skibińska);in 1984,released;fired
Jerzy Jan Grabowski,IV,born22
Mirosław Grabowski,III  Malbork,born27
1980 strike participant,1980 Founding port,Committee
13  XII,23  XII,interned in
Stanisława Halina Grabska,1922  Lviv,born20
1990 Holy God,1983 Holy Trinity,is
28,1988 EC crypt,worked
1980  Chairman,Founding I,From
13  XII,1981  Grodków,interned in
Kazimierz Grajcarek,1952 Bielsko Biała,born17
He,vocational Bielsko Biała,graduated from
1979 locksmith mechanic,ZPW Bielsko,knit
imprisoned Bielsko gifts,Evangelical  Bishop,distributed from
many  Russia,Śląsko others,Author of many
13  XII,priestEdward Sandomiersko Radom,interned
31  XII,WatchIII EC Krypt,Developed by WatchIII
Leszek Edward Graniczka,1950  Lublin,born15
1972 WSK we,new Cooperative K,released on
1969 Administrative worker,historic Nalarity;1977 PP,forests
1980 strike participant,1981 VI Delegate,Western
1991 Tygodnik 1995,editorial Tygodnik Gdański,1989
1980 PZOZ who,Gdańsk Shipyard,Chairwoman of
Zakładowa Zbigniew co,othersSecretary,After
12/13  XII,1981  axle,interned in
1986,Sor Krypt,Developed by
14  XII,1981  axle,interned in
1981  1982,EC Bratek,Developed by
13  XII,1981 Ostrów Wlkp,interned in
where  he,leaflet person Augustów Augustów,After
1976  Internship,1977 Polish State Białogard,Tracks Polish
13  XII,1981  axle,interned in
1988  1989,EC Krypt,Developed by
1994  Employee,Provincial them,publishing
2006 Corporate Card Foundation,original  Perelu,Remembering
she,Poland,refused
Rafał Grupiński,1952  Wronki,born26
Kolporter SW Irena collaborator,London Pale Frankfurt,writings
1990  Editor,Cultural  time,continued
martial SW courtyard,2009 Ostrich prof,Run in
1980  organizer,1981 First Commission,In
13  XII,abroad West emigration,was in
14 ZPS XII,then KW KW Świdnica,interned in
Jarosław Gruszkowski,26  Czarnków,born
participant,III 1981 union press,Commission in
24  XII,1981 Elżbieta ZW,arrested
29 III 1983,Surrounding Sor Krypt,Developed by
Danuta Grzelak,1952  Gdańsk,on8
1981  she,children,devoted to
16  1989,Mo SOS KRPT,Developed by
16  1989,KW Mo SOS KRPT,Developed by
Janusz Łukasz Grzelak,1941  Warsaw,born12
He,winner Polcul Foundation Award,awarded
20  XII,KS Mo SOR KRPT,Susw as
VII,30 IX p,Developed by
15  III,WatchV SOR crypt,Developed by WatchV
1981  participant,Mostostal Chojnice,gave
2000  Chairman,responsible Health Parliament,Puls
Maria Grzymisławska,1937  Poznań,born13
underground Julian Zydorka,current Poznan KPN,made
Maciej Grzywaczski,1954  Gdańsk,born17
III 13 III December,FacultyIII crypt sauce,worked
1980  he,Dolnośląskie Mass,supported in
1981 National Council,clergy,concealed
White Cross,Medal Culture Gloria Artis,Decorated with
1958  1959,regular case crypt,Developed by
19 Szczecin XII,1981 Szczecin Pacification,released
He,Polonia Restituta,awarded
she,hoc Military District 3,helped
1980  Contractor,80 Provincial September,seconded to
13  XII,1981 Dycharotewo K,interned in
15  IV,1983 crypt sauce,Developed under
1981  she,War Information Wojciech,passed
1967  editor,then Ritv Committee,specialist in
13  XII,1981  axle,interned in
AZS,golden Catholic Film Niepokalanów,honored with
Stanisław Guzik,1940 brand K,born20
W  member,Regional Founding Committee,CA
1984–2012,Pensioners 'S,S
1982  1984,MO EC KRPT,Developed by
Elżbieta  tuma,1942 born3 Salsdorf,pow
Trade Unions Trade he,Lech Wałęsa,lost to
13  XII,1981  axle,interned in
1978,2 SOR KRPT,Developed by
13  XII,new iv 1982;fired,interned in
1989  2002,S FSM forge Tamż,restored to
1980  Co,2 hour strike,ch
1980  1981,outz,Developed by
Trwamamy Information XII,Polish Radom village,supported
1981  she,independent student association,secured
29  VII,1989 SOR KRPT,Developed by
professional trade unions,1977 Stanisław Pyjas,participant in
"professional trade S"";1990",Low AWS list,participant in
half  time,Construction School Lublin;Since,retired
Ireneusz Jerzy Haczewski,6 Kamieniec Podolski,born23
medium -wing radio he,1958 Provincial case,discontinued
also network broadcasting he,S SB operating bands,copied underground
Marian Hady,1950  Rudnik,on8
29  XII,1981 Completion Rzeszów,Detained
Sucha he,crossing crosses,organized
high school he,successful boycott war,initiated
1944  Legalization,1956 gold Robe,stopped by
organizer,1980 Factory Committee,In
organizer,responsible KS food,Strike in
1980  Participant,independent government day,day to
24  XII,1981  anxiety,interned in
Aleksander Hall,1953  Gdańsk,born20
secret  member,1984 trade itself,revealed
1964 Worker Polskie,1988 Nafty Gdańsk,railways
organizer,1981 River Gdańsk Region,In
9 removal XII,removal Strzebelinki,released
Kazimierz Aleksander Hamerszmit,1916 Kościelnych K,born12
it,Diocesan Ełckie Kuria,established on
1981  participant,1984 Toruń Krajowiaw,co
13  XII,1981 Ostrów Wlkp,Interned in
26  1982,outz,Developed by
-,day colleague workplace,cooperated with
provisional Organizational We,ChairmanProfessional nieces,Land
1980  organizer,1981 Prison ZR,Region
provincial United States Committee,anxiety,interned in
Marek Harasiuk,1960  Warsaw,born17
1988  2000,legal consulting work,remained from
Jan Harasym,1952 Siemianowice Śl,born28
1981 Committee Civic Committee,independent information publications,carried
15  XII,1981 Siemianowice Śl,stopped
He,Polonia Restituta,awarded
